Symbol,Trades,Accuracy,Annual_Return,Avg_Holding_Days,Category
NATCOPHARM,5,40.0,0.07732541273978377,108.2,Moderate
NATIONALUM,10,60.0,0.44542130627011867,80.8,Follows SuperTrend
NAVINFLUOR,6,33.33333333333333,0.009010295084640685,152.5,Moderate
NAVKARCORP,5,40.0,0.08488328907099985,236.8,Moderate
NAZARA,8,37.5,-0.08415707914054371,146.0,Does NOT Follow
NBCC,8,62.5,0.28262362571333033,124.875,Follows SuperTrend
NCLIND,5,20.0,-0.2360648161398219,173.4,Does NOT Follow
NEULANDLAB,6,83.33333333333334,0.676674403955815,145.33333333333334,Follows SuperTrend
NFL,6,50.0,-0.06501798715019591,164.83333333333334,Does NOT Follow
NIACL,9,44.44444444444444,0.018809592639446482,126.66666666666667,Moderate
NIITLTD,8,37.5,-0.13765696679309025,160.75,Does NOT Follow
NOIDATOLL,5,40.0,-0.14497006583066052,219.2,Does NOT Follow
NORBTEAEXP,18,50.0,0.6077294250469538,56.55555555555556,Follows SuperTrend
NPST,16,37.5,1.233311324159875,62.5625,Moderate
NRAIL,6,50.0,-0.022815143721037767,145.33333333333334,Does NOT Follow
NSLNISP,6,16.666666666666664,-0.6586061130939976,75.83333333333333,Does NOT Follow
NUCLEUS,6,33.33333333333333,0.6286664327580924,135.0,Moderate
NURECA,5,0.0,,184.0,Moderate
OAL,6,33.33333333333333,-0.16640401506997105,135.0,Does NOT Follow
OILCOUNTUB,8,62.5,0.3889893860717777,142.5,Follows SuperTrend
OMKARCHEM,7,57.14285714285714,0.01616110622053113,98.14285714285714,Moderate
ONGC,6,33.33333333333333,-0.018894150029635903,125.0,Does NOT Follow
ONMOBILE,5,20.0,-0.29375700627033274,177.2,Does NOT Follow
ORIENTPPR,6,33.33333333333333,-0.13810173744995702,182.5,Does NOT Follow
ORISSAMINE,6,16.666666666666664,0.012104585343096108,226.33333333333334,Moderate
PANACEABIO,5,40.0,0.22087119354683749,162.8,Moderate
PARAGMILK,6,33.33333333333333,0.038190066020082236,178.5,Moderate
PARAS,5,60.0,-0.24347133198340742,127.4,Does NOT Follow
PASHUPATI,25,40.0,0.7337757811965504,41.72,Moderate
PATANJALI,5,60.0,0.0008385262064825039,131.6,Moderate
PAVNAIND,19,52.63157894736842,0.08602392459229846,69.6842105263158,Moderate
PAYTM,5,60.0,0.7442962039924017,126.6,Follows SuperTrend
PCBL,5,60.0,0.1310495605950759,257.8,Moderate
PENIND,6,66.66666666666666,0.05934608298585964,135.33333333333334,Moderate
PERSISTENT,5,60.0,0.22128528502187517,164.6,Follows SuperTrend
PETRONET,7,57.14285714285714,0.049047279534701005,130.57142857142858,Moderate
PFC,5,60.0,0.6252242964490831,116.6,Follows SuperTrend
PFIZER,5,40.0,-0.09558596743912784,111.2,Does NOT Follow
